Instancia,OrderBased,PositionBased,PMX,OnePoint,TwoPoint,TwoPointPermutation,OrderTwo,Linear,SequenceBased,LoopBased,TwoCutPTL,NoCross,Otimo
20J_5M_0.txt,1297.0,1297.0,1297.0,1297.0,1297.0,1321.0,1323.0,1297.0,1297.0,1324.0,1297.0,1392.0,1278.0
20J_5M_1.txt,1373.0,1366.0,1366.0,1389.0,1366.0,1383.0,1383.0,1373.0,1360.0,1383.0,1370.0,1429.0,1359.0
20J_5M_2.txt,1109.0,1107.0,1108.0,1132.0,1132.0,1132.0,1132.0,1116.0,1098.0,1162.0,1148.0,1286.0,1081.0
20J_5M_3.txt,1323.0,1309.0,1324.0,1317.0,1325.0,1362.0,1382.0,1311.0,1309.0,1370.0,1387.0,1487.0,1293.0
20J_5M_4.txt,1250.0,1250.0,1252.0,1254.0,1250.0,1333.0,1299.0,1250.0,1250.0,1261.0,1276.0,1348.0,1236.0
20J_5M_5.txt,1224.0,1224.0,1210.0,1224.0,1224.0,1264.0,1243.0,1228.0,1210.0,1266.0,1272.0,1394.0,1195.0
20J_5M_6.txt,1259.0,1251.0,1251.0,1262.0,1259.0,1291.0,1273.0,1259.0,1251.0,1276.0,1260.0,1291.0,1239.0
20J_5M_7.txt,1214.0,1214.0,1227.0,1251.0,1215.0,1269.0,1221.0,1248.0,1216.0,1260.0,1264.0,1351.0,1206.0
20J_5M_8.txt,1253.0,1255.0,1287.0,1272.0,1255.0,1300.0,1287.0,1257.0,1277.0,1313.0,1308.0,1415.0,1230.0
20J_5M_9.txt,1137.0,1138.0,1127.0,1137.0,1134.0,1175.0,1161.0,1131.0,1127.0,1152.0,1151.0,1245.0,1108.0
20J_10M_0.txt,1625.0,1621.0,1668.0,1650.0,1627.0,1699.0,1692.0,1605.0,1626.0,1699.0,1682.0,1788.0,1582.0
20J_10M_1.txt,1699.0,1683.0,1719.0,1773.0,1754.0,1748.0,1757.0,1707.0,1682.0,1754.0,1781.0,1897.0,1659.0
20J_10M_2.txt,1582.0,1550.0,1560.0,1610.0,1559.0,1593.0,1568.0,1558.0,1537.0,1594.0,1616.0,1771.0,1496.0
20J_10M_3.txt,1407.0,1419.0,1424.0,1436.0,1425.0,1552.0,1464.0,1431.0,1405.0,1483.0,1470.0,1623.0,1378.0
20J_10M_4.txt,1473.0,1463.0,1461.0,1523.0,1471.0,1500.0,1503.0,1483.0,1432.0,1538.0,1547.0,1666.0,1419.0
20J_10M_5.txt,1438.0,1415.0,1460.0,1508.0,1441.0,1470.0,1525.0,1455.0,1424.0,1520.0,1504.0,1618.0,1397.0
20J_10M_6.txt,1529.0,1555.0,1547.0,1541.0,1526.0,1543.0,1534.0,1549.0,1526.0,1579.0,1554.0,1702.0,1484.0
20J_10M_7.txt,1573.0,1569.0,1612.0,1631.0,1569.0,1670.0,1635.0,1641.0,1572.0,1633.0,1653.0,1757.0,1538.0
20J_10M_8.txt,1636.0,1636.0,1646.0,1663.0,1636.0,1658.0,1671.0,1640.0,1627.0,1656.0,1684.0,1822.0,1593.0
20J_10M_9.txt,1654.0,1668.0,1642.0,1662.0,1635.0,1672.0,1686.0,1626.0,1638.0,1711.0,1710.0,1832.0,1591.0
20J_20M_0.txt,2372.0,2378.0,2369.0,2403.0,2354.0,2394.0,2380.0,2397.0,2346.0,2447.0,2452.0,2533.0,2297.0
20J_20M_1.txt,2141.0,2148.0,2219.0,2211.0,2162.0,2177.0,2189.0,2170.0,2140.0,2254.0,2215.0,2377.0,2100.0
20J_20M_2.txt,2395.0,2386.0,2435.0,2383.0,2363.0,2412.0,2407.0,2395.0,2390.0,2446.0,2453.0,2623.0,2326.0
20J_20M_3.txt,2276.0,2273.0,2269.0,2347.0,2274.0,2345.0,2327.0,2302.0,2276.0,2359.0,2345.0,2510.0,2223.0
20J_20M_4.txt,2347.0,2332.0,2342.0,2428.0,2338.0,2385.0,2407.0,2372.0,2328.0,2439.0,2441.0,2608.0,2291.0
20J_20M_5.txt,2277.0,2266.0,2294.0,2285.0,2295.0,2304.0,2363.0,2257.0,2268.0,2328.0,2357.0,2532.0,2226.0
