Instancia;OrderBased;PositionBased;PMX;OnePoint;TwoPoint;TwoPointPermutation;OrderTwo;Linear;SequenceBased;LoopBased;TwoCutPTL;NoCross;Otimo
20J_5M_0.txt;1303.0;1324.0;1323.0;1297.0;1328.0;1325.0;1327.0;1326.0;1307.0;1339.0;1339.0;1377.0;1278.0
20J_5M_1.txt;1383.0;1368.0;1383.0;1397.0;1371.0;1383.0;1373.0;1383.0;1376.0;1383.0;1396.0;1421.0;1359.0
20J_5M_2.txt;1164.0;1152.0;1168.0;1162.0;1168.0;1150.0;1162.0;1154.0;1148.0;1182.0;1203.0;1278.0;1081.0
20J_5M_3.txt;1395.0;1365.0;1425.0;1384.0;1351.0;1362.0;1367.0;1409.0;1356.0;1397.0;1416.0;1469.0;1293.0
20J_5M_4.txt;1299.0;1296.0;1286.0;1293.0;1323.0;1303.0;1338.0;1310.0;1282.0;1305.0;1311.0;1338.0;1236.0
20J_5M_5.txt;1266.0;1251.0;1261.0;1224.0;1260.0;1272.0;1267.0;1284.0;1247.0;1256.0;1276.0;1350.0;1195.0
20J_5M_6.txt;1289.0;1251.0;1258.0;1308.0;1288.0;1258.0;1296.0;1303.0;1263.0;1285.0;1287.0;1364.0;1239.0
20J_5M_7.txt;1280.0;1265.0;1329.0;1286.0;1283.0;1301.0;1275.0;1295.0;1300.0;1282.0;1306.0;1347.0;1206.0
20J_5M_8.txt;1312.0;1324.0;1321.0;1293.0;1295.0;1317.0;1303.0;1317.0;1298.0;1298.0;1351.0;1406.0;1230.0
20J_5M_9.txt;1194.0;1172.0;1200.0;1177.0;1199.0;1221.0;1161.0;1208.0;1156.0;1173.0;1224.0;1263.0;1108.0
20J_10M_0.txt;1735.0;1729.0;1695.0;1761.0;1686.0;1685.0;1680.0;1738.0;1707.0;1722.0;1743.0;1801.0;1582.0
20J_10M_1.txt;1802.0;1808.0;1803.0;1811.0;1813.0;1775.0;1790.0;1814.0;1812.0;1772.0;1840.0;1905.0;1659.0
20J_10M_2.txt;1638.0;1629.0;1646.0;1643.0;1643.0;1636.0;1640.0;1640.0;1619.0;1618.0;1687.0;1739.0;1496.0
20J_10M_3.txt;1485.0;1538.0;1552.0;1530.0;1520.0;1498.0;1522.0;1522.0;1506.0;1514.0;1509.0;1621.0;1378.0
20J_10M_4.txt;1584.0;1559.0;1547.0;1611.0;1536.0;1582.0;1581.0;1552.0;1596.0;1563.0;1630.0;1694.0;1419.0
20J_10M_5.txt;1558.0;1508.0;1511.0;1533.0;1471.0;1471.0;1533.0;1539.0;1520.0;1518.0;1579.0;1621.0;1397.0
20J_10M_6.txt;1634.0;1615.0;1622.0;1572.0;1575.0;1579.0;1572.0;1594.0;1606.0;1585.0;1649.0;1642.0;1484.0
20J_10M_7.txt;1657.0;1662.0;1705.0;1638.0;1701.0;1679.0;1689.0;1719.0;1687.0;1667.0;1726.0;1832.0;1538.0
20J_10M_8.txt;1691.0;1673.0;1702.0;1676.0;1698.0;1690.0;1681.0;1701.0;1676.0;1695.0;1703.0;1783.0;1593.0
20J_10M_9.txt;1750.0;1719.0;1756.0;1685.0;1758.0;1724.0;1732.0;1747.0;1743.0;1719.0;1782.0;1840.0;1591.0
20J_20M_0.txt;2453.0;2465.0;2478.0;2463.0;2458.0;2473.0;2460.0;2467.0;2446.0;2479.0;2496.0;2581.0;2297.0
20J_20M_1.txt;2284.0;2254.0;2238.0;2268.0;2247.0;2261.0;2284.0;2240.0;2266.0;2253.0;2285.0;2374.0;2100.0
20J_20M_2.txt;2475.0;2493.0;2494.0;2478.0;2480.0;2453.0;2482.0;2462.0;2490.0;2446.0;2474.0;2612.0;2326.0
20J_20M_3.txt;2361.0;2422.0;2400.0;2357.0;2423.0;2385.0;2387.0;2429.0;2409.0;2391.0;2411.0;2529.0;2223.0
20J_20M_4.txt;2466.0;2428.0;2498.0;2473.0;2431.0;2411.0;2479.0;2517.0;2443.0;2487.0;2487.0;2594.0;2291.0
20J_20M_5.txt;2420.0;2387.0;2379.0;2379.0;2406.0;2346.0;2332.0;2387.0;2402.0;2405.0;2411.0;2496.0;2226.0
20J_20M_6.txt;2437.0;2455.0;2443.0;2413.0;2403.0;2416.0;2411.0;2439.0;2414.0;2451.0;2465.0;2520.0;2273.0
20J_20M_7.txt;2346.0;2367.0;2373.0;2312.0;2360.0;2375.0;2359.0;2374.0;2357.0;2360.0;2401.0;2468.0;2200.0
20J_20M_8.txt;2438.0;2394.0;2433.0;2381.0;2419.0;2475.0;2376.0;2438.0;2420.0;2409.0;2441.0;2519.0;2237.0
20J_20M_9.txt;2402.0;2333.0;2427.0;2397.0;2384.0;2365.0;2357.0;2424.0;2398.0;2357.0;2402.0;2434.0;2178.0
50J_5M_0.txt;2790.0;2840.0;2838.0;2791.0;2774.0;2863.0;2779.0;2820.0;2774.0;2786.0;2859.0;2861.0;2724.0
50J_5M_1.txt;2977.0;2957.0;2976.0;2968.0;2949.0;2901.0;2985.0;3028.0;2931.0;2983.0;3049.0;3131.0;2834.0
50J_5M_2.txt;2750.0;2714.0;2749.0;2712.0;2742.0;2744.0;2696.0;2715.0;2737.0;2710.0;2763.0;2821.0;2621.0
50J_5M_3.txt;2902.0;2894.0;2862.0;2843.0;2878.0;2852.0;2893.0;2929.0;2867.0;2865.0;2904.0;2991.0;2751.0
50J_5M_4.txt;2938.0;2922.0;2974.0;2938.0;2944.0;2957.0;2937.0;2991.0;2923.0;2916.0;2955.0;3076.0;2863.0
50J_5M_5.txt;2960.0;2906.0;2954.0;2968.0;2921.0;2907.0;2929.0;2935.0;2936.0;2940.0;2999.0;3041.0;2829.0
50J_5M_6.txt;2862.0;2881.0;2859.0;2845.0;2859.0;2867.0;2865.0;2857.0;2871.0;2830.0;2882.0;2963.0;2725.0
50J_5M_7.txt;2843.0;2817.0;2850.0;2815.0;2872.0;2828.0;2835.0;2814.0;2811.0;2833.0;2871.0;2965.0;2683.0
50J_5M_8.txt;2682.0;2664.0;2713.0;2710.0;2690.0;2683.0;2703.0;2674.0;2654.0;2626.0;2727.0;2808.0;2552.0
50J_5M_9.txt;2884.0;2868.0;2918.0;2846.0;2856.0;2919.0;2873.0;2915.0;2861.0;2875.0;2917.0;2983.0;2782.0
50J_10M_0.txt;3434.0;3365.0;3479.0;3409.0;3418.0;3412.0;3439.0;3472.0;3429.0;3326.0;3447.0;3543.0;3025.0
50J_10M_1.txt;3260.0;3310.0;3315.0;3275.0;3334.0;3290.0;3237.0;3299.0;3307.0;3279.0;3314.0;3444.0;2892.0
50J_10M_2.txt;3301.0;3274.0;3317.0;3269.0;3227.0;3280.0;3252.0;3348.0;3262.0;3286.0;3335.0;3455.0;2864.0
50J_10M_3.txt;3448.0;3444.0;3428.0;3435.0;3391.0;3458.0;3409.0;3467.0;3374.0;3402.0;3479.0;3598.0;3064.0
50J_10M_4.txt;3386.0;3387.0;3374.0;3375.0;3361.0;3318.0;3340.0;3418.0;3353.0;3421.0;3482.0;3533.0;2986.0
50J_10M_5.txt;3379.0;3362.0;3428.0;3359.0;3428.0;3330.0;3415.0;3393.0;3425.0;3341.0;3434.0;3577.0;3006.0
50J_10M_6.txt;3437.0;3441.0;3456.0;3464.0;3435.0;3410.0;3392.0;3490.0;3407.0;3419.0;3491.0;3581.0;3107.0
50J_10M_7.txt;3381.0;3377.0;3402.0;3402.0;3310.0;3370.0;3320.0;3419.0;3375.0;3389.0;3412.0;3526.0;3039.0
50J_10M_8.txt;3323.0;3269.0;3334.0;3329.0;3240.0;3277.0;3286.0;3340.0;3329.0;3275.0;3331.0;3483.0;2902.0
50J_10M_9.txt;3407.0;3450.0;3457.0;3420.0;3481.0;3400.0;3431.0;3502.0;3395.0;3392.0;3541.0;3569.0;3091.0
50J_20M_0.txt;4433.0;4403.0;4399.0;4398.0;4385.0;4376.0;4490.0;4426.0;4379.0;4399.0;4413.0;4568.0;3875.0
50J_20M_1.txt;4281.0;4229.0;4303.0;4246.0;4261.0;4252.0;4350.0;4317.0;4292.0;4234.0;4345.0;4462.0;3715.0
50J_20M_2.txt;4241.0;4172.0;4259.0;4235.0;4259.0;4171.0;4235.0;4286.0;4184.0;4203.0;4231.0;4348.0;3668.0
50J_20M_3.txt;4311.0;4298.0;4336.0;4299.0;4307.0;4347.0;4237.0;4344.0;4316.0;4298.0;4291.0;4479.0;3752.0
50J_20M_4.txt;4264.0;4256.0;4307.0;4249.0;4243.0;4246.0;4190.0;4298.0;4243.0;4216.0;4302.0;4402.0;3635.0
50J_20M_5.txt;4280.0;4226.0;4314.0;4216.0;4288.0;4258.0;4204.0;4297.0;4171.0;4103.0;4353.0;4474.0;3698.0
50J_20M_6.txt;4277.0;4272.0;4348.0;4315.0;4276.0;4303.0;4280.0;4266.0;4270.0;4242.0;4385.0;4453.0;3716.0
50J_20M_7.txt;4243.0;4266.0;4318.0;4314.0;4292.0;4277.0;4284.0;4306.0;4265.0;4246.0;4311.0;4495.0;3709.0
50J_20M_8.txt;4316.0;4246.0;4321.0;4329.0;4352.0;4305.0;4292.0;4341.0;4299.0;4233.0;4352.0;4460.0;3765.0
50J_20M_9.txt;4362.0;4274.0;4359.0;4342.0;4323.0;4370.0;4269.0;4356.0;4360.0;4354.0;4386.0;4535.0;3777.0
