Instancia,OrderBased,PositionBased,PMX,OnePoint,TwoPoint,TwoPointPermutation,OrderTwo,Linear,SequenceBased,LoopBased,TwoCutPTL,NoCross,Otimo
20J_5M_0.txt,50.5474,54.0946,51.5138,49.6647,49.6797,51.8121,48.8824,47.8724,49.0853,48.0558,50.5361,46.214,ukn
20J_10M_0.txt,56.6895,56.5909,54.806,55.526,55.5757,56.7972,56.9661,56.9285,55.1451,54.6763,53.7533,49.6191,ukn
20J_20M_0.txt,66.0512,67.017,64.9628,64.9967,65.8408,66.0561,65.3573,65.864,64.9937,64.9206,66.4365,62.7714,ukn
50J_5M_0.txt,58.1958,61.983,57.2947,57.7754,58.0951,57.4073,57.5053,58.749,56.2698,56.4002,57.2832,51.2712,ukn
50J_10M_0.txt,74.007,76.6519,71.8573,72.2587,72.5813,85.8791,89.1584,88.9099,85.56,85.2344,84.9672,72.8216,ukn
50J_20M_0.txt,122.9046,129.1451,131.2038,128.5523,135.3613,130.6527,109.112,106.3199,104.0951,103.45,126.1433,116.094,ukn
100J_5M_0.txt,81.4963,107.2868,80.6484,88.8537,88.5954,86.5626,90.9655,86.7667,79.8513,91.2228,89.2616,70.4764,ukn
100J_10M_0.txt,118.0863,144.206,118.7481,121.1649,127.125,114.4761,115.3651,114.5736,121.3949,105.234,108.4729,96.8673,ukn
100J_20M_0.txt,166.8574,184.1279,168.8423,166.6945,166.2031,164.4863,165.9179,163.8848,162.6187,160.53,165.6078,152.7231,ukn
200J_10M_0.txt,171.4962,242.6688,169.7032,172.6311,172.9254,171.5149,172.2488,171.0298,169.7801,164.9708,172.5439,150.3833,ukn
200J_20M_0.txt,289.566,361.7562,289.7452,289.0367,292.0338,291.7771,289.5618,290.9442,287.5705,281.0689,290.7138,269.1009,ukn
500J_20M_0.txt,730.1994,1161.187,708.2471,872.9151,925.1488,934.8502,992.6444,940.8216,932.5657,691.3687,703.2229,643.9989,ukn
